data_set,database,seeding_time_s,seeding_amount,volume_size_bytes,seeding_timestamp
small,couchdb,76.8,517570,203338156,2026-03-15 13:34:03
small,mysql,38.8,517570,101453824,2026-03-15 13:32:05
small,mysql-norm,38.5,517570,111153152,2026-03-15 13:32:46
small,redis,29.5,517570,,
small,sqlite,3.5,517570,50659328,2026-03-15 13:31:26
medium,couchdb,211.9,1079216,424382892,2026-03-15 13:41:00
medium,mysql,99.8,1079216,162615296,2026-03-15 13:36:05
medium,mysql-norm,80.5,1079216,172396544,2026-03-15 13:37:27
medium,redis,58.6,1079216,,
medium,sqlite,17.3,1079216,106315776,2026-03-15 13:34:23
large,couchdb,2781.6,10722681,4227965356,2026-03-15 14:58:09
large,mysql,821.2,10722681,1099304960,2026-03-15 13:57:31
large,mysql-norm,852.9,10722681,1184419840,2026-03-15 14:11:46
large,redis,590.5,10722681,,
large,sqlite,140.4,10722681,1067376640,2026-03-15 13:43:49
